Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance,Q1 Balance,Q2 Balance,Q3 Balance,Q4 Balance
1,No,Air Miles,Letter,High,1,No,High,2,1,4,No,1160.75,1669,877,1095,1002
2,No,Air Miles,Letter,Medium,1,No,Medium,2,2,5,Yes,147.25,39,106,78,366
3,No,Air Miles,Postcard,High,2,No,Medium,2,1,2,Yes,276.5,367,352,145,242
4,No,Air Miles,Letter,Medium,2,No,High,1,1,4,No,1219,1578,1760,1119,419
5,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1211,2140,1357,982,365
6,No,Air Miles,Letter,Medium,1,No,High,3,1,4,No,1114.75,1847,1365,750,497
7,No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,No,283.75,468,188,347,132
8,No,Cash Back,Postcard,Low,1,No,Medium,4,1,4,Yes,278.5,132,391,285,306
9,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,1005,894,891,882,1353
10,No,Air Miles,Letter,High,2,No,Low,3,2,4,Yes,974.25,1814,1454,514,115
11,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,2,Yes,1135.25,762,827,1454,1498
12,No,Cash Back,Postcard,High,1,No,Medium,3,2,5,Yes,1221,551,1652,896,1785
13,No,Points,Letter,Medium,1,No,Low,1,1,2,Yes,1150.5,1756,1402,969,475
14,No,Points,Letter,Low,1,No,High,1,1,3,No,1052.25,1996,1038,439,736
15,No,Air Miles,Letter,Low,2,No,High,3,1,3,Yes,1013.25,1819,901,854,479
16,No,Cash Back,Letter,High,1,No,Low,2,1,2,No,1012.25,1715,1486,713,135
17,No,Points,Postcard,Low,2,No,Medium,1,1,4,Yes,1217,567,1161,966,2174
18,No,Air Miles,Postcard,Low,2,No,High,2,1,4,Yes,1185.25,272,1523,2042,904
19,No,Points,Postcard,Medium,1,No,Low,1,1,4,No,1059.75,1876,1068,900,395
20,No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,1086.75,764,997,921,1665
21,No,Points,Postcard,Low,1,No,High,2,1,4,Yes,1175.25,1234,1102,1423,942
22,No,Points,Letter,Medium,1,No,Low,2,2,3,Yes,811.75,720,407,1224,896
23,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1754,1876,1717,1507,1916
24,No,Air Miles,Postcard,High,1,No,High,3,1,5,No,689.5,714,544,753,747
25,No,Cash Back,Letter,Low,1,No,Low,2,1,4,Yes,1018.25,1709,1087,732,545
26,No,Cash Back,Postcard,Medium,1,Yes,High,3,2,5,Yes,1130.25,1931,1097,921,572
27,No,Air Miles,Postcard,Low,2,No,Low,3,2,1,Yes,877,245,816,1174,1273
28,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,769.5,54,515,1204,1305
29,No,Cash Back,Postcard,Medium,1,Yes,Low,1,1,3,Yes,709,551,866,790,629
